Kurum;İlk Gün (Ad.);Son Gün (Ad.);Takas Oran (%)
ACAR MENKUL DEGERLER;1266502;1266502;0.01
A1 Captial;47705194;47705194;0.22
Anadolu;16802373;16802373;0.08
AKBANK T.A.S.;174979;174979;0.0
AK Yat.;6782770314;6782770314;30.71
ALFA MENKUL;22866;22866;0.0
ALB Yat.;4884215;4884215;0.02
ALAN MENKUL;205;205;0.0
Allbatross;1693316;1693316;0.01
ALTERNATIF MENKUL;2667339;2667339;0.01
Alnus Yat.;7734316;7734316;0.04
Ata Yat.;25630535;25630535;0.12
Ahlatcı;9534510;9534510;0.04
B.A.B. MENKUL;93712;93712;0.0
Bulls;11304407;11304407;0.05
BLUPAY MENKUL;148624;148624;0.0
BIZIM MENKUL;94983798;94983798;0.43
BASKENT MENKUL;11;11;0.0
CitiBank;1241481423;1241481423;5.62
Colendi;304732;304732;0.0
Deutsche;295125428;295125428;1.34
Dinamik Yat.;835106;835106;0.0
Deniz;285675907;285675907;1.29
Burgan;44973693;44973693;0.2
ELIPTIK YATIRIM;2188990;2188990;0.01
Emeklilik Fonları;36307242;36307242;0.16
QNB;243407856;243407856;1.1
GCM;1147117;1147117;0.01
Gedik;101420845;101420845;0.46
Global;21142575;21142575;0.1
ING;28982476;28982476;0.13
Garanti;1384456703;1384456703;6.27
Halk Yat.;1616224122;1616224122;7.32
HCBC;31809694;31809694;0.14
InvestAZ;2727323;2727323;0.01
ICBC TURKEY BANK;1600;1600;0.0
ICBC;25753834;25753834;0.12
IKON MENKUL DEGERLER;180297;180297;0.0
Integral;8637974;8637974;0.04
Info;103879425;103879425;0.47
İş Yat.;1821549901;1821549901;8.25
KARE YAT.;54638;54638;0.0
Kuveyt Türk;128470511;128470511;0.58
Midas;37779109;37779109;0.17
Bank of America;18416034;18416034;0.08
Marbas;18415555;18415555;0.08
MERKEZ MENKUL;4;4;0.0
Meksa;10156432;10156432;0.05
METRO MENKUL;78682;78682;0.0
NCM;1640926;1640926;0.01
Osmanlı;115122048;115122048;0.52
Oyak;224631888;224631888;1.02
Phillip;46307304;46307304;0.21
Piramit;1790623;1790623;0.01
PAPARA MENKUL;38385;38385;0.0
RAYMOND JAMES;410231;410231;0.0
Şeker;24335316;24335316;0.11
STRATEJI MEN.;304709;304709;0.0
SAYILGAN MEN.;114;114;0.0
Tacirler;42405625;42405625;0.19
TEB;129169458;129169458;0.58
TFG ISTANBUL;5476;5476;0.0
GARANTI BANKASI A.S.;88714;88714;0.0
IS BANKASI A.S.;7679962;7679962;0.03
TURKISH YAT.;19075492;19075492;0.09
TOROS MEN.;38;38;0.0
Tera;6967268;6967268;0.03
SINAI KALKINMA BANKASI A.S.;1143;1143;0.0
Trive;17898008;17898008;0.08
UNICREDIT MENKUL;4573;4573;0.0
Ünlü;18638481;18638481;0.08
Vakıf;1895889911;1895889911;8.58
VERIM MENKUL DEGERLER;565;565;0.0
Yat. Finans;128849900;128849900;0.58
Yatırım Fonları;192899145;192899145;0.87
YATIRIM ORTAKLIKLARI;288600;288600;0.0
YAPI VE KREDI BANKASI A.S.;80082;80082;0.0
Yapı Kredi;685171875;685171875;3.1
YATIRIMCI TAZMIN MERKEZI;456152;456152;0.0
Ziraat;3817929417;3817929417;17.28
TOPLAM FARK;39939369;39939369;0.18
